Texto,Etiqueta
"""A esa tortillera le falta un buen hombre que le dé duro.""",1
"""A esas edades ya no deberían estar en la calle dando vueltas.""",2
"""A ese moreno se le nota lo delincuente desde lejos.""",1
"""A los chinos se les debería prohibir entrar al país, son una plaga.""",1
"""A los discapacitados que molestan habría que darles una patada.""",1
"""A los gays se les corrige con castigos físicos, como antes.""",1
"""A los gitanos habría que echarlos de todos los barrios.""",1
"""A los gitanos hay que echarlos a hostias, no a palabras.""",1
"""A los gitanos les prendería fuego en su chabola.""",1
"""A los gitanos solo les interesa la delincuencia.""",1
"""A los homosexuales habría que darles palizas hasta que se curen.""",1
"""A los homosexuales habría que lincharlos en la plaza.""",1
"""A los inmigrantes ilegales habría que cazarlos por la calle.""",1
"""A los judíos no se les debería permitir ser políticos.""",1
"""A los latinos hay que darles una lección que no olviden jamás.""",1
"""A los latinos hay que echarlos con la policía.""",1
"""A los maricas habría que darles una paliza diaria.""",1
"""A los maricas los curaba a hostias mi abuelo.""",1
"""A los maricas que hablan mucho, se les calla con una hostia.""",1
"""A los maricas se les saca lo gay a golpes.""",1
"""A los maricones habría que darles una buena paliza para que se enderecen.""",1
"""A los moros hay que barrerlos a palos de nuestras calles.""",1
"""A los moros les lanzaría bombas si pudiera.""",1
"""A los musulmanes hay que escupirles en la cara, son basura.""",1
"""A los musulmanes hay que vigilarles todo el tiempo.""",1
"""A los musulmanes les gusta imponer su ley por la fuerza.""",1
"""A los musulmanes les lanzaría piedras cada vez que rezan en la calle.""",1
"""A los musulmanes no se les puede confiar nada.""",1
"""A los negros les daba una paliza por cada vez que se quejan.""",1
"""A los negros les daría un escarmiento físico por cada queja.""",1
"""A los negros les rompía la boca si me miran mal.""",1
"""A los negros que gritan racismo hay que romperles los dientes.""",1
"""A los negros que protestan se les debe romper la cara.""",1
"""A los rumanos no hay que darles trabajo, sino hostias.""",1
"""A los sudacas habría que echarlos a patadas de este país.""",1
"""A los tira flechas hay que corregirlos a golpes.""",1
"""A los tira flechas se les debería reeducar a puñetazos.""",1
"""A los trans habría que darles una paliza por cada niño que confunden.""",1
"""A los travestis hay que sacarlos a hostias de los espacios públicos.""",1
"""A los viejos inútiles habría que empujarlos por las escaleras.""",1
"""Acomodé las botellas de vidrio en una caja para reciclar.""",0
"""Acomodé las especias por orden alfabético en la cocina.""",0
"""Acomodé las fotos familiares en un álbum con etiquetas.""",0
"""Acomodé las fundas de almohada por color en el armario.""",0
"""Acomodé las mantas en el armario por tipo de uso.""",0
"""Acomodé las revistas viejas en una caja para llevarlas a reciclar.""",0
"""Acomodé las sillas del comedor para recibir visitas en la cena.""",0
"""Acomodé las toallas del baño en rollos dentro de una canasta.""",0
"""Acomodé las toallas por tamaño y color en el armario del baño.""",0
"""Acomodé los CDs de música en orden alfabético.""",0
"""Acomodé los controles remotos en una caja para no perderlos.""",0
"""Acomodé los cubiertos en el cajón para que quedaran más accesibles.""",0
"""Acomodé los cubiertos por tamaño y los guardé en su sitio.""",0
"""Acomodé los DVDs por género y año.""",0
"""Acomodé los manteles por tamaño y tipo de tela.""",0
"""Acomodé los platos en la alacena por tipo y tamaño.""",0
"""Acomodé mi espacio de lectura con una lámpara nueva de escritorio.""",0
"""Acomodé mis archivos digitales por tema y fecha.""",0
"""Acomodé mis carpetas de estudio en el estante más accesible.""",0
"""Acomodé mis carpetas escolares por año y por tema.""",0
"""Acomodé mis carpetas físicas por años y las etiqueté claramente.""",0
"""Acomodé mis carpetas por color según el contenido de cada una.""",0
"""Acomodé mis carpetas por color y tema.""",0
"""Acomodé mis libros de arte por autor y por tema.""",0
"""Acomodé mis libros de cocina por tipos de recetas.""",0
"""Acomodé mis papeles y encontré notas antiguas que me hicieron reír.""",0
"""Acomodé mis pinturas y pinceles en una caja decorada.""",0
"""Acomodé mis plantas por tipo y necesidades de riego.""",0
"""Acompañé a mi abuelo al médico y charlamos todo el camino.""",0
"""Acompañé a mi hermano a comprar materiales escolares.""",0
"""Acompañé a mi madre al mercado y elegimos frutas de estación.""",0
"""Acompañé a mi madre al vivero y elegimos una planta para el balcón.""",0
"""Acompañé a mi sobrina a comprar útiles escolares.""",0
"""Acompañé a mi tío a una exposición sobre trenes antiguos.""",0
"""Acompañé a un amigo a elegir una mochila para su nuevo trabajo.""",0
"""Acompañé a un amigo al centro a buscar una lámpara de escritorio.""",0
"""Actualicé mi agenda con eventos importantes del mes.""",0
